part_id,part_name,component_name,city,state,latitude,longitude,demand_intensity
211,Starters for Hyundai Kona 2014,starters,Portland,OR,45.5051,-122.675,0.34
211,Starters for Hyundai Kona 2014,starters,Seattle,WA,47.6062,-122.3321,0.34
41,Batteries for Honda CR-V 2017,batteries,Phoenix,AZ,33.4484,-112.074,0.34
41,Batteries for Honda CR-V 2017,batteries,Seattle,WA,47.6062,-122.3321,0.33
41,Batteries for Honda CR-V 2017,batteries,Miami,FL,25.7617,-80.1918,0.34
220,Starters for Honda CR-V 2017,starters,San Antonio,TX,29.4241,-98.4936,0.33
220,Starters for Honda CR-V 2017,starters,Philadelphia,PA,39.9526,-75.1652,0.34
220,Starters for Honda CR-V 2017,starters,Jacksonville,FL,30.3322,-81.6557,0.33
115,Spark Plugs for Honda CR-V 2017,spark plugs,Miami,FL,25.7617,-80.1918,0.34
115,Spark Plugs for Honda CR-V 2017,spark plugs,San Antonio,TX,29.4241,-98.4936,0.33
115,Spark Plugs for Honda CR-V 2017,spark plugs,Philadelphia,PA,39.9526,-75.1652,0.33
10,Brakes for Honda CR-V 2017,brakes,Atlanta,GA,33.749,-84.388,0.33
10,Brakes for Honda CR-V 2017,brakes,Chicago,IL,41.8781,-87.6298,0.33
10,Brakes for Honda CR-V 2017,brakes,Philadelphia,PA,39.9526,-75.1652,0.33
149,Tires for Honda CR-V 2017,tires,Miami,FL,25.7617,-80.1918,0.34
149,Tires for Honda CR-V 2017,tires,Boston,MA,42.3601,-71.0589,0.33
149,Tires for Honda CR-V 2017,tires,Chicago,IL,41.8781,-87.6298,0.34
163,Oil Filters for Honda CR-V 2017,oil filters,Dallas,TX,32.7767,-96.797,0.33
163,Oil Filters for Honda CR-V 2017,oil filters,San Diego,CA,32.7157,-117.1611,0.34
163,Oil Filters for Honda CR-V 2017,oil filters,Detroit,MI,42.3314,-83.0458,0.34
81,Alternators for Honda CR-V 2017,alternators,Denver,CO,39.7392,-104.9903,0.33
81,Alternators for Honda CR-V 2017,alternators,San Diego,CA,32.7157,-117.1611,0.34
81,Alternators for Honda CR-V 2017,alternators,Dallas,TX,32.7767,-96.797,0.34
207,Air Filters for Honda CR-V 2017,air filters,Dallas,TX,32.7767,-96.797,0.33
207,Air Filters for Honda CR-V 2017,air filters,Portland,OR,45.5051,-122.675,0.34
207,Air Filters for Honda CR-V 2017,air filters,Jacksonville,FL,30.3322,-81.6557,0.33
271,Fuel Pumps for Honda CR-V 2017,fuel pumps,Philadelphia,PA,39.9526,-75.1652,0.34
271,Fuel Pumps for Honda CR-V 2017,fuel pumps,Dallas,TX,32.7767,-96.797,0.33
271,Fuel Pumps for Honda CR-V 2017,fuel pumps,Detroit,MI,42.3314,-83.0458,0.33
266,Water Pumps for Honda CR-V 2017,water pumps,Los Angeles,CA,34.0522,-118.2437,0.33
266,Water Pumps for Honda CR-V 2017,water pumps,Miami,FL,25.7617,-80.1918,0.34
266,Water Pumps for Honda CR-V 2017,water pumps,Seattle,WA,47.6062,-122.3321,0.34
250,Water Pumps for Mercedes GLC 2015,water pumps,New York,NY,40.7128,-74.006,0.33
250,Water Pumps for Mercedes GLC 2015,water pumps,Dallas,TX,32.7767,-96.797,0.34
250,Water Pumps for Mercedes GLC 2015,water pumps,Chicago,IL,41.8781,-87.6298,0.33
286,Fuel Pumps for Mercedes GLC 2015,fuel pumps,San Diego,CA,32.7157,-117.1611,0.33
286,Fuel Pumps for Mercedes GLC 2015,fuel pumps,San Antonio,TX,29.4241,-98.4936,0.33
286,Fuel Pumps for Mercedes GLC 2015,fuel pumps,Boston,MA,42.3601,-71.0589,0.33
180,Oil Filters for Mercedes GLC 2015,oil filters,Boston,MA,42.3601,-71.0589,0.33
180,Oil Filters for Mercedes GLC 2015,oil filters,San Jose,CA,37.3382,-121.8863,0.33
180,Oil Filters for Mercedes GLC 2015,oil filters,San Diego,CA,32.7157,-117.1611,0.33
21,Brakes for Mercedes GLC 2015,brakes,Austin,TX,30.2672,-97.7431,0.32
21,Brakes for Mercedes GLC 2015,brakes,Detroit,MI,42.3314,-83.0458,0.33
21,Brakes for Mercedes GLC 2015,brakes,Chicago,IL,41.8781,-87.6298,0.33
119,Spark Plugs for Mercedes GLC 2015,spark plugs,Houston,TX,29.7604,-95.3698,0.33
119,Spark Plugs for Mercedes GLC 2015,spark plugs,Denver,CO,39.7392,-104.9903,0.33
119,Spark Plugs for Mercedes GLC 2015,spark plugs,Portland,OR,45.5051,-122.675,0.32
69,Alternators for Mercedes GLC 2015,alternators,Portland,OR,45.5051,-122.675,0.34
69,Alternators for Mercedes GLC 2015,alternators,Jacksonville,FL,30.3322,-81.6557,0.33
69,Alternators for Mercedes GLC 2015,alternators,Atlanta,GA,33.749,-84.388,0.33
126,Tires for Mercedes GLC 2015,tires,Miami,FL,25.7617,-80.1918,0.34
126,Tires for Mercedes GLC 2015,tires,Austin,TX,30.2672,-97.7431,0.33
126,Tires for Mercedes GLC 2015,tires,Portland,OR,45.5051,-122.675,0.33
223,Starters for Mercedes GLC 2015,starters,Boston,MA,42.3601,-71.0589,0.33
223,Starters for Mercedes GLC 2015,starters,Austin,TX,30.2672,-97.7431,0.34
223,Starters for Mercedes GLC 2015,starters,Phoenix,AZ,33.4484,-112.074,0.33
39,Batteries for Mercedes GLC 2015,batteries,Austin,TX,30.2672,-97.7431,0.33
39,Batteries for Mercedes GLC 2015,batteries,Jacksonville,FL,30.3322,-81.6557,0.33
39,Batteries for Mercedes GLC 2015,batteries,Boston,MA,42.3601,-71.0589,0.33
183,Air Filters for Mercedes GLC 2015,air filters,Chicago,IL,41.8781,-87.6298,0.33
183,Air Filters for Mercedes GLC 2015,air filters,Portland,OR,45.5051,-122.675,0.33
183,Air Filters for Mercedes GLC 2015,air filters,Jacksonville,FL,30.3322,-81.6557,0.33
275,Fuel Pumps for Kia Soul 2006,fuel pumps,Dallas,TX,32.7767,-96.797,0.33
275,Fuel Pumps for Kia Soul 2006,fuel pumps,Philadelphia,PA,39.9526,-75.1652,0.33
275,Fuel Pumps for Kia Soul 2006,fuel pumps,Phoenix,AZ,33.4484,-112.074,0.33
182,Air Filters for BMW X5 2022,air filters,Jacksonville,FL,30.3322,-81.6557,0.33
182,Air Filters for BMW X5 2022,air filters,Detroit,MI,42.3314,-83.0458,0.32
182,Air Filters for BMW X5 2022,air filters,Atlanta,GA,33.749,-84.388,0.33
191,Air Filters for Kia Soul 2006,air filters,Portland,OR,45.5051,-122.675,0.33
191,Air Filters for Kia Soul 2006,air filters,Denver,CO,39.7392,-104.9903,0.33
191,Air Filters for Kia Soul 2006,air filters,Miami,FL,25.7617,-80.1918,0.33
255,Water Pumps for BMW X5 2022,water pumps,Los Angeles,CA,34.0522,-118.2437,0.33
255,Water Pumps for BMW X5 2022,water pumps,Boston,MA,42.3601,-71.0589,0.33
255,Water Pumps for BMW X5 2022,water pumps,Miami,FL,25.7617,-80.1918,0.33
113,Spark Plugs for BMW X5 2022,spark plugs,San Diego,CA,32.7157,-117.1611,0.33
113,Spark Plugs for BMW X5 2022,spark plugs,Atlanta,GA,33.749,-84.388,0.33
113,Spark Plugs for BMW X5 2022,spark plugs,Dallas,TX,32.7767,-96.797,0.33
17,Brakes for BMW X5 2022,brakes,Boston,MA,42.3601,-71.0589,0.33
17,Brakes for BMW X5 2022,brakes,Phoenix,AZ,33.4484,-112.074,0.33
17,Brakes for BMW X5 2022,brakes,Chicago,IL,41.8781,-87.6298,0.33
143,Tires for BMW X5 2022,tires,New York,NY,40.7128,-74.006,0.32
143,Tires for BMW X5 2022,tires,Dallas,TX,32.7767,-96.797,0.32
143,Tires for BMW X5 2022,tires,Detroit,MI,42.3314,-83.0458,0.33
161,Oil Filters for BMW X5 2022,oil filters,Philadelphia,PA,39.9526,-75.1652,0.32
161,Oil Filters for BMW X5 2022,oil filters,Denver,CO,39.7392,-104.9903,0.33
161,Oil Filters for BMW X5 2022,oil filters,Phoenix,AZ,33.4484,-112.074,0.33
44,Batteries for Kia Soul 2006,batteries,Miami,FL,25.7617,-80.1918,0.33
44,Batteries for Kia Soul 2006,batteries,Jacksonville,FL,30.3322,-81.6557,0.33
44,Batteries for Kia Soul 2006,batteries,Philadelphia,PA,39.9526,-75.1652,0.33
256,Water Pumps for Kia Soul 2006,water pumps,New York,NY,40.7128,-74.006,0.33
256,Water Pumps for Kia Soul 2006,water pumps,Las Vegas,NV,36.1699,-115.1398,0.33
256,Water Pumps for Kia Soul 2006,water pumps,San Antonio,TX,29.4241,-98.4936,0.33
235,Starters for Kia Soul 2006,starters,Las Vegas,NV,36.1699,-115.1398,0.33
235,Starters for Kia Soul 2006,starters,Atlanta,GA,33.749,-84.388,0.33
235,Starters for Kia Soul 2006,starters,Detroit,MI,42.3314,-83.0458,0.33
91,Spark Plugs for Kia Soul 2006,spark plugs,Houston,TX,29.7604,-95.3698,0.33
91,Spark Plugs for Kia Soul 2006,spark plugs,San Antonio,TX,29.4241,-98.4936,0.33
91,Spark Plugs for Kia Soul 2006,spark plugs,Chicago,IL,41.8781,-87.6298,0.33
49,Batteries for BMW X5 2022,batteries,Detroit,MI,42.3314,-83.0458,0.33
49,Batteries for BMW X5 2022,batteries,Jacksonville,FL,30.3322,-81.6557,0.33
49,Batteries for BMW X5 2022,batteries,Boston,MA,42.3601,-71.0589,0.33
22,Brakes for Kia Soul 2006,brakes,San Antonio,TX,29.4241,-98.4936,0.33
22,Brakes for Kia Soul 2006,brakes,San Jose,CA,37.3382,-121.8863,0.33
22,Brakes for Kia Soul 2006,brakes,Houston,TX,29.7604,-95.3698,0.33
138,Tires for Kia Soul 2006,tires,Philadelphia,PA,39.9526,-75.1652,0.32
138,Tires for Kia Soul 2006,tires,Seattle,WA,47.6062,-122.3321,0.33
138,Tires for Kia Soul 2006,tires,San Antonio,TX,29.4241,-98.4936,0.33
174,Oil Filters for Kia Soul 2006,oil filters,Los Angeles,CA,34.0522,-118.2437,0.33
174,Oil Filters for Kia Soul 2006,oil filters,Portland,OR,45.5051,-122.675,0.33
174,Oil Filters for Kia Soul 2006,oil filters,Boston,MA,42.3601,-71.0589,0.33
72,Alternators for Kia Soul 2006,alternators,Boston,MA,42.3601,-71.0589,0.33
72,Alternators for Kia Soul 2006,alternators,Phoenix,AZ,33.4484,-112.074,0.33
72,Alternators for Kia Soul 2006,alternators,Austin,TX,30.2672,-97.7431,0.33
217,Starters for BMW X5 2022,starters,Chicago,IL,41.8781,-87.6298,0.33
217,Starters for BMW X5 2022,starters,San Antonio,TX,29.4241,-98.4936,0.33
217,Starters for BMW X5 2022,starters,Atlanta,GA,33.749,-84.388,0.33
63,Alternators for BMW X5 2022,alternators,Jacksonville,FL,30.3322,-81.6557,0.33
63,Alternators for BMW X5 2022,alternators,Phoenix,AZ,33.4484,-112.074,0.33
63,Alternators for BMW X5 2022,alternators,Los Angeles,CA,34.0522,-118.2437,0.33
299,Fuel Pumps for BMW X5 2022,fuel pumps,Miami,FL,25.7617,-80.1918,0.33
299,Fuel Pumps for BMW X5 2022,fuel pumps,Atlanta,GA,33.749,-84.388,0.33
299,Fuel Pumps for BMW X5 2022,fuel pumps,Boston,MA,42.3601,-71.0589,0.33
242,Water Pumps for Mercedes GLE 2019,water pumps,Las Vegas,NV,36.1699,-115.1398,0.33
242,Water Pumps for Mercedes GLE 2019,water pumps,San Antonio,TX,29.4241,-98.4936,0.33
242,Water Pumps for Mercedes GLE 2019,water pumps,Houston,TX,29.7604,-95.3698,0.33
5,Brakes for Hyundai Sonata 2017,brakes,Boston,MA,42.3601,-71.0589,0.33
5,Brakes for Hyundai Sonata 2017,brakes,Miami,FL,25.7617,-80.1918,0.33
5,Brakes for Hyundai Sonata 2017,brakes,Dallas,TX,32.7767,-96.797,0.33
106,Spark Plugs for Hyundai Sonata 2017,spark plugs,Phoenix,AZ,33.4484,-112.074,0.33
106,Spark Plugs for Hyundai Sonata 2017,spark plugs,San Diego,CA,32.7157,-117.1611,0.33
106,Spark Plugs for Hyundai Sonata 2017,spark plugs,Denver,CO,39.7392,-104.9903,0.32
15,Brakes for Mercedes GLE 2019,brakes,Jacksonville,FL,30.3322,-81.6557,0.32
15,Brakes for Mercedes GLE 2019,brakes,Atlanta,GA,33.749,-84.388,0.33
15,Brakes for Mercedes GLE 2019,brakes,San Diego,CA,32.7157,-117.1611,0.32
58,Batteries for Hyundai Sonata 2017,batteries,Austin,TX,30.2672,-97.7431,0.33
58,Batteries for Hyundai Sonata 2017,batteries,Boston,MA,42.3601,-71.0589,0.33
58,Batteries for Hyundai Sonata 2017,batteries,Portland,OR,45.5051,-122.675,0.33
251,Water Pumps for Hyundai Sonata 2017,water pumps,New York,NY,40.7128,-74.006,0.33
251,Water Pumps for Hyundai Sonata 2017,water pumps,Miami,FL,25.7617,-80.1918,0.33
251,Water Pumps for Hyundai Sonata 2017,water pumps,Chicago,IL,41.8781,-87.6298,0.32
152,Oil Filters for Mercedes GLE 2019,oil filters,Denver,CO,39.7392,-104.9903,0.33
152,Oil Filters for Mercedes GLE 2019,oil filters,Las Vegas,NV,36.1699,-115.1398,0.33
152,Oil Filters for Mercedes GLE 2019,oil filters,Philadelphia,PA,39.9526,-75.1652,0.33
189,Air Filters for Hyundai Sonata 2017,air filters,Austin,TX,30.2672,-97.7431,0.33
189,Air Filters for Hyundai Sonata 2017,air filters,San Diego,CA,32.7157,-117.1611,0.32
189,Air Filters for Hyundai Sonata 2017,air filters,Chicago,IL,41.8781,-87.6298,0.32
292,Fuel Pumps for Hyundai Sonata 2017,fuel pumps,Houston,TX,29.7604,-95.3698,0.33
292,Fuel Pumps for Hyundai Sonata 2017,fuel pumps,New York,NY,40.7128,-74.006,0.32
292,Fuel Pumps for Hyundai Sonata 2017,fuel pumps,San Jose,CA,37.3382,-121.8863,0.33
62,Alternators for Hyundai Sonata 2017,alternators,Denver,CO,39.7392,-104.9903,0.33
62,Alternators for Hyundai Sonata 2017,alternators,San Diego,CA,32.7157,-117.1611,0.33
62,Alternators for Hyundai Sonata 2017,alternators,Philadelphia,PA,39.9526,-75.1652,0.33
172,Oil Filters for Hyundai Sonata 2017,oil filters,San Antonio,TX,29.4241,-98.4936,0.33
172,Oil Filters for Hyundai Sonata 2017,oil filters,Philadelphia,PA,39.9526,-75.1652,0.33
172,Oil Filters for Hyundai Sonata 2017,oil filters,San Diego,CA,32.7157,-117.1611,0.32
139,Tires for Hyundai Sonata 2017,tires,Jacksonville,FL,30.3322,-81.6557,0.33
139,Tires for Hyundai Sonata 2017,tires,Chicago,IL,41.8781,-87.6298,0.33
139,Tires for Hyundai Sonata 2017,tires,Dallas,TX,32.7767,-96.797,0.32
233,Starters for Hyundai Sonata 2017,starters,San Antonio,TX,29.4241,-98.4936,0.32
233,Starters for Hyundai Sonata 2017,starters,Denver,CO,39.7392,-104.9903,0.33
233,Starters for Hyundai Sonata 2017,starters,Phoenix,AZ,33.4484,-112.074,0.33
141,Tires for Mercedes GLE 2019,tires,Boston,MA,42.3601,-71.0589,0.33
141,Tires for Mercedes GLE 2019,tires,Dallas,TX,32.7767,-96.797,0.33
141,Tires for Mercedes GLE 2019,tires,Portland,OR,45.5051,-122.675,0.33
79,Alternators for Mercedes GLE 2019,alternators,Jacksonville,FL,30.3322,-81.6557,0.33
79,Alternators for Mercedes GLE 2019,alternators,Phoenix,AZ,33.4484,-112.074,0.32
79,Alternators for Mercedes GLE 2019,alternators,Austin,TX,30.2672,-97.7431,0.33
238,Starters for Mercedes GLE 2019,starters,Los Angeles,CA,34.0522,-118.2437,0.33
238,Starters for Mercedes GLE 2019,starters,Portland,OR,45.5051,-122.675,0.32
238,Starters for Mercedes GLE 2019,starters,Seattle,WA,47.6062,-122.3321,0.33
290,Fuel Pumps for Mercedes GLE 2019,fuel pumps,Miami,FL,25.7617,-80.1918,0.33
290,Fuel Pumps for Mercedes GLE 2019,fuel pumps,San Antonio,TX,29.4241,-98.4936,0.33
290,Fuel Pumps for Mercedes GLE 2019,fuel pumps,Houston,TX,29.7604,-95.3698,0.33
208,Air Filters for Mercedes GLE 2019,air filters,Austin,TX,30.2672,-97.7431,0.33
208,Air Filters for Mercedes GLE 2019,air filters,San Antonio,TX,29.4241,-98.4936,0.33
208,Air Filters for Mercedes GLE 2019,air filters,Houston,TX,29.7604,-95.3698,0.33
116,Spark Plugs for Mercedes GLE 2019,spark plugs,Phoenix,AZ,33.4484,-112.074,0.32
116,Spark Plugs for Mercedes GLE 2019,spark plugs,New York,NY,40.7128,-74.006,0.32
116,Spark Plugs for Mercedes GLE 2019,spark plugs,Chicago,IL,41.8781,-87.6298,0.33
56,Batteries for Mercedes GLE 2019,batteries,Seattle,WA,47.6062,-122.3321,0.33
56,Batteries for Mercedes GLE 2019,batteries,Las Vegas,NV,36.1699,-115.1398,0.33
56,Batteries for Mercedes GLE 2019,batteries,Los Angeles,CA,34.0522,-118.2437,0.33
190,Air Filters for Hyundai Sonata 2023,air filters,Los Angeles,CA,34.0522,-118.2437,0.32
190,Air Filters for Hyundai Sonata 2023,air filters,Seattle,WA,47.6062,-122.3321,0.33
190,Air Filters for Hyundai Sonata 2023,air filters,Las Vegas,NV,36.1699,-115.1398,0.33
187,Air Filters for Audi Q7 2011,air filters,Phoenix,AZ,33.4484,-112.074,0.33
187,Air Filters for Audi Q7 2011,air filters,Los Angeles,CA,34.0522,-118.2437,0.33
187,Air Filters for Audi Q7 2011,air filters,Philadelphia,PA,39.9526,-75.1652,0.33
288,Fuel Pumps for Audi Q7 2011,fuel pumps,Philadelphia,PA,39.9526,-75.1652,0.33
288,Fuel Pumps for Audi Q7 2011,fuel pumps,San Jose,CA,37.3382,-121.8863,0.33
288,Fuel Pumps for Audi Q7 2011,fuel pumps,Dallas,TX,32.7767,-96.797,0.33
297,Fuel Pumps for Hyundai Sonata 2023,fuel pumps,Seattle,WA,47.6062,-122.3321,0.33
297,Fuel Pumps for Hyundai Sonata 2023,fuel pumps,Jacksonville,FL,30.3322,-81.6557,0.33
297,Fuel Pumps for Hyundai Sonata 2023,fuel pumps,San Jose,CA,37.3382,-121.8863,0.32
129,Tires for Audi Q7 2011,tires,San Antonio,TX,29.4241,-98.4936,0.33
129,Tires for Audi Q7 2011,tires,Jacksonville,FL,30.3322,-81.6557,0.33
129,Tires for Audi Q7 2011,tires,Boston,MA,42.3601,-71.0589,0.33
127,Tires for Hyundai Sonata 2023,tires,Houston,TX,29.7604,-95.3698,0.32
127,Tires for Hyundai Sonata 2023,tires,Denver,CO,39.7392,-104.9903,0.33
127,Tires for Hyundai Sonata 2023,tires,New York,NY,40.7128,-74.006,0.33
269,Water Pumps for Audi Q7 2011,water pumps,Phoenix,AZ,33.4484,-112.074,0.33
269,Water Pumps for Audi Q7 2011,water pumps,Jacksonville,FL,30.3322,-81.6557,0.33
269,Water Pumps for Audi Q7 2011,water pumps,Boston,MA,42.3601,-71.0589,0.33
19,Brakes for Hyundai Sonata 2023,brakes,Dallas,TX,32.7767,-96.797,0.33
19,Brakes for Hyundai Sonata 2023,brakes,New York,NY,40.7128,-74.006,0.32
19,Brakes for Hyundai Sonata 2023,brakes,Austin,TX,30.2672,-97.7431,0.32
107,Spark Plugs for Audi Q7 2011,spark plugs,San Diego,CA,32.7157,-117.1611,0.33
107,Spark Plugs for Audi Q7 2011,spark plugs,Austin,TX,30.2672,-97.7431,0.33
107,Spark Plugs for Audi Q7 2011,spark plugs,Miami,FL,25.7617,-80.1918,0.33
65,Alternators for Hyundai Sonata 2023,alternators,Phoenix,AZ,33.4484,-112.074,0.33
65,Alternators for Hyundai Sonata 2023,alternators,Los Angeles,CA,34.0522,-118.2437,0.33
65,Alternators for Hyundai Sonata 2023,alternators,San Jose,CA,37.3382,-121.8863,0.33
268,Water Pumps for Hyundai Sonata 2023,water pumps,Boston,MA,42.3601,-71.0589,0.33
268,Water Pumps for Hyundai Sonata 2023,water pumps,Philadelphia,PA,39.9526,-75.1652,0.32
268,Water Pumps for Hyundai Sonata 2023,water pumps,Jacksonville,FL,30.3322,-81.6557,0.33
227,Starters for Audi Q7 2011,starters,Portland,OR,45.5051,-122.675,0.33
227,Starters for Audi Q7 2011,starters,San Diego,CA,32.7157,-117.1611,0.33
227,Starters for Audi Q7 2011,starters,Atlanta,GA,33.749,-84.388,0.32
75,Alternators for Audi Q7 2011,alternators,Denver,CO,39.7392,-104.9903,0.32
75,Alternators for Audi Q7 2011,alternators,San Jose,CA,37.3382,-121.8863,0.32
75,Alternators for Audi Q7 2011,alternators,Portland,OR,45.5051,-122.675,0.33
171,Oil Filters for Audi Q7 2011,oil filters,San Diego,CA,32.7157,-117.1611,0.33
171,Oil Filters for Audi Q7 2011,oil filters,Boston,MA,42.3601,-71.0589,0.32
171,Oil Filters for Audi Q7 2011,oil filters,Portland,OR,45.5051,-122.675,0.33
236,Starters for Hyundai Sonata 2023,starters,Austin,TX,30.2672,-97.7431,0.32
236,Starters for Hyundai Sonata 2023,starters,Jacksonville,FL,30.3322,-81.6557,0.32
236,Starters for Hyundai Sonata 2023,starters,Denver,CO,39.7392,-104.9903,0.33
53,Batteries for Audi Q7 2011,batteries,Chicago,IL,41.8781,-87.6298,0.32
53,Batteries for Audi Q7 2011,batteries,San Jose,CA,37.3382,-121.8863,0.32
53,Batteries for Audi Q7 2011,batteries,Las Vegas,NV,36.1699,-115.1398,0.33
153,Oil Filters for Hyundai Sonata 2023,oil filters,Seattle,WA,47.6062,-122.3321,0.33
153,Oil Filters for Hyundai Sonata 2023,oil filters,Portland,OR,45.5051,-122.675,0.32
153,Oil Filters for Hyundai Sonata 2023,oil filters,Las Vegas,NV,36.1699,-115.1398,0.33
105,Spark Plugs for Hyundai Sonata 2023,spark plugs,Chicago,IL,41.8781,-87.6298,0.33
105,Spark Plugs for Hyundai Sonata 2023,spark plugs,Jacksonville,FL,30.3322,-81.6557,0.33
105,Spark Plugs for Hyundai Sonata 2023,spark plugs,Austin,TX,30.2672,-97.7431,0.32
42,Batteries for Hyundai Sonata 2023,batteries,Miami,FL,25.7617,-80.1918,0.33
42,Batteries for Hyundai Sonata 2023,batteries,San Diego,CA,32.7157,-117.1611,0.32
42,Batteries for Hyundai Sonata 2023,batteries,Seattle,WA,47.6062,-122.3321,0.32
